# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Users\luand\f\ufsc\20231\ldh\final\prj\final_prj.csv
# Generated on: Tue Jul 04 17:02:11 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
B0,Input,PIN_H2,1,B1_N1,,,,,
B1,Input,PIN_G3,1,B1_N0,,,,,
B2,Input,PIN_F1,1,B1_N0,,,,,
HEX0[7],Output,PIN_D13,7,B7_N1,,,,,
HEX0[6],Output,PIN_F13,7,B7_N1,,,,,
HEX0[5],Output,PIN_F12,7,B7_N1,,,,,
HEX0[4],Output,PIN_G12,7,B7_N1,,,,,
HEX0[3],Output,PIN_H13,7,B7_N1,,,,,
HEX0[2],Output,PIN_H12,7,B7_N1,,,,,
HEX0[1],Output,PIN_F11,7,B7_N1,,,,,
HEX0[0],Output,PIN_E11,7,B7_N1,,,,,
HEX1[7],Output,PIN_B15,7,B7_N1,,,,,
HEX1[6],Output,PIN_A15,7,B7_N1,,,,,
HEX1[5],Output,PIN_E14,7,B7_N1,,,,,
HEX1[4],Output,PIN_B14,7,B7_N1,,,,,
HEX1[3],Output,PIN_A14,7,B7_N1,,,,,
HEX1[2],Output,PIN_C13,7,B7_N1,,,,,
HEX1[1],Output,PIN_B13,7,B7_N1,,,,,
HEX1[0],Output,PIN_A13,7,B7_N1,,,,,
HEX2[7],Output,PIN_A18,7,B7_N0,,,,,
HEX2[6],Output,PIN_F14,7,B7_N0,,,,,
HEX2[5],Output,PIN_B17,7,B7_N1,,,,,
HEX2[4],Output,PIN_A17,7,B7_N1,,,,,
HEX2[3],Output,PIN_E15,7,B7_N0,,,,,
HEX2[2],Output,PIN_B16,7,B7_N1,,,,,
HEX2[1],Output,PIN_A16,7,B7_N1,,,,,
HEX2[0],Output,PIN_D15,7,B7_N0,,,,,
HEX3[7],Output,PIN_G16,7,B7_N0,,,,,
HEX3[6],Output,PIN_G15,7,B7_N0,,,,,
HEX3[5],Output,PIN_D19,7,B7_N0,,,,,
HEX3[4],Output,PIN_C19,7,B7_N0,,,,,
HEX3[3],Output,PIN_B19,7,B7_N0,,,,,
HEX3[2],Output,PIN_A19,7,B7_N0,,,,,
HEX3[1],Output,PIN_F15,7,B7_N0,,,,,
HEX3[0],Output,PIN_B18,7,B7_N0,,,,,
LED[9],Output,PIN_B1,1,B1_N0,,,,,
LED[8],Output,PIN_B2,1,B1_N0,,,,,
LED[7],Output,PIN_C2,1,B1_N0,,,,,
LED[6],Output,PIN_C1,1,B1_N0,,,,,
LED[5],Output,PIN_E1,1,B1_N0,,,,,
LED[4],Output,PIN_F2,1,B1_N0,,,,,
LED[3],Output,PIN_H1,1,B1_N1,,,,,
LED[2],Output,PIN_J3,1,B1_N1,,,,,
LED[1],Output,PIN_J2,1,B1_N1,,,,,
LED[0],Output,PIN_J1,1,B1_N1,,,,,
SWITCH[9],Input,PIN_D2,1,B1_N0,,,,,
SWITCH[8],Input,PIN_E4,1,B1_N0,,,,,
SWITCH[7],Input,PIN_E3,1,B1_N0,,,,,
SWITCH[6],Input,PIN_H7,1,B1_N0,,,,,
SWITCH[5],Input,PIN_J7,1,B1_N1,,,,,
SWITCH[4],Input,PIN_G5,1,B1_N0,,,,,
SWITCH[3],Input,PIN_G4,1,B1_N0,,,,,
SWITCH[2],Input,PIN_H6,1,B1_N0,,,,,
SWITCH[1],Input,PIN_H5,1,B1_N0,,,,,
SWITCH[0],Input,PIN_J6,1,B1_N0,,,,,
